<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,,,,,
LKOH,M,20021001,0,483,527.45,483,518.1,11552185,31.7411,580,0.601784055,53.90062026,820.1984047
LKOH,M,20021101,0,518,545.7,501.25,530.02,18543055,31.8424,590,0.583514752,54.48413501,857.6669056
LKOH,M,20021201,0,530.5,532.65,481.07,489.78,8025513,31.86,600,0.598141369,55.08227638,831.7147111
LKOH,M,20030101,0,492.5,499.41,438.6,450.41,8738683,31.8846,610,0.638445366,55.72072174,766.4862836
LKOH,M,20030201,0,450,474,432.4,472.5,15734217,31.8517,620,0.671976793,56.39269854,765.5542042
LKOH,M,20030301,0,473.7,508.25,421,431.12,15228181,31.5956,630,0.621654697,57.01435323,759.6957396
LKOH,M,20030401,0,429,546.99,426.01,536.1,35985762,31.3801,640,0.573686905,57.58804014,781.8037858
LKOH,M,20030501,0,543,574.4,512.15,560,26276108,31.1184,650,0.541754875,58.12979501,956.7064668
LKOH,M,20030601,0,565,609,540.01,598.6,22286179,30.7599,660,0.50508867,58.63488368,1029.373422
LKOH,M,20030701,0,600,634.49,483.5,539.1,34216047,30.5349,670,0.481251084,59.11613477,936.0649997
LKOH,M,20030801,0,538.98,600.7,438,595.99,18364599,30.5036,680,0.507800899,59.62393567,856.1377615
LKOH,M,20030901,0,596,631.5,561.05,625.9,31064682,30.7013,690,0.486164687,60.11010035,1098.480253
LKOH,M,20031001,0,627,749,566.01,609.5,60970792,30.6142,700,0.408734312,60.51883467,1118.901216
LKOH,M,20031101,0,612,664.8,568.3,642.32,32929168,29.9451,710,0.450437726,60.96927239,1157.078704
LKOH,M,20031201,0,640.06,688.5,621.5,677,28604791,29.7038,720,0.431427741,61.40070013,1284.70213
LKOH,M,20040101,0,681.05,755.99,681.05,736,38725259,29.4545,730,0.389614942,61.79031507,1428.722066
LKOH,M,20040201,0,729.97,802.09,710,801.8,26673443,28.6205,740,0.356824047,62.14713912,1541.708523
LKOH,M,20040301,0,804,891.9,796,886,36289568,28.6654,750,0.321397018,62.46853614,1734.668093
LKOH,M,20040401,0,884,958,776.5,793.77,40814739,29.0033,760,0.302748434,62.77128457,1680.564021
LKOH,M,20040501,0,811.14,863.3,760,810.5,33226686,29.0772,770,0.336814549,63.10809912,1649.476405
LKOH,M,20040601,0,802,836.1,701.1,763,42460497,29.0859,780,0.347875852,63.45597497,1529.5722
LKOH,M,20040701,0,769.45,832.8,730,796.49,39880289,29.1332,790,0.349822286,63.80579726,1598.802466
