<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,M,20131001,0,323,353.77,321.01,340,33464310
MTSS,M,20131101,0,339.39,339.49,308,313.05,27541090
MTSS,M,20131201,0,313.14,330,301.4,328.29,37073760
MTSS,M,20140101,0,323.57,325.45,285.55,287.87,39886480
MTSS,M,20140201,0,289.49,305.88,263.2,276.2,52483570
MTSS,M,20140301,0,260.37,276.2,226.43,271,92920830
MTSS,M,20140401,0,271.17,273.99,236.9,258.5,76435160
MTSS,M,20140501,0,256.97,286.64,253.67,282.5,39658410
MTSS,M,20140601,0,285.39,316,284.01,302.01,45403260
MTSS,M,20140701,0,301.51,324.48,257.3,275.91,61425110
MTSS,M,20140801,0,278.01,299.99,261.7,281.87,44296670
MTSS,M,20140901,0,282.99,306.5,263.01,274,64961420
MTSS,M,20141001,0,248,256.7,214.25,255,97842670
MTSS,M,20141101,0,255.15,264.89,241.02,251,48219310
MTSS,M,20141201,0,249.8,255,154.1,169.05,138105980
MTSS,M,20150101,0,168.55,238.5,168.15,217.85,64899450
MTSS,M,20150201,0,220.05,259,215.35,249,70716990
MTSS,M,20150301,000000,250.0000000,262.7500000,218.7000000,247.0000000,59336100
MTSS,M,20150401,000000,245.6000000,269.0000000,244.0000000,265.0000000,50893660
MTSS,M,20150501,000000,265.1000000,273.5500000,243.0000000,243.0000000,36509310
MTSS,M,20150601,000000,243.9500000,254.5500000,236.8000000,243.1000000,41483020
MTSS,M,20150701,000000,243.7000000,247.4000000,206.3500000,224.9000000,55583070
MTSS,M,20150801,000000,224.2500000,233.4000000,220.0000000,228.8500000,49448080
MTSS,M,20150901,000000,229.0500000,232.1500000,208.3000000,212.7000000,46834860
MTSS,M,20151001,000000,214.1500000,222.0000000,206.7500000,208.3000000,58363110
MTSS,M,20151101,000000,208.4500000,224.0000000,186.7000000,217.7000000,91451100
MTSS,M,20151201,000000,218.0500000,222.0000000,205.3500000,210.0000000,53642380
MTSS,M,20160101,000000,210.4500000,228.4000000,197.7500000,226.0000000,57586430
MTSS,M,20160201,000000,227.0000000,239.7000000,221.6000000,233.0000000,57984710
MTSS,M,20160301,000000,234.8,240.1,230.15,240.1,53469980,0
MTSS,M,20160401,000000,239,260.4,231.8,253,61505170,0
MTSS,M,20160501,000000,252,263.2,248,257.15,34413580,0
MTSS,M,20160601,000000,256.5,272.8,232.15,243.05,67041060,0
MTSS,M,20160701,000000,244.0000000,253.9000000,225.0000000,252.0000000,46484780
MTSS,M,20160801,000000,253.1000000,254.8500000,234.0000000,239.1000000,42082600
MTSS,M,20160901,000000,239.7000000,249.1500000,227.3500000,227.5000000,50386790
MTSS,M,20161001,000000,228.5500000,233.8500000,211.5500000,223.5000000,52711390
MTSS,M,20161101,000000,223.9500000,231.9000000,215.2000000,230.2500000,42685540
MTSS,M,20161201,000000,232.4000000,268.8000000,230.7000000,259.0000000,53504030
